Sentence,Original_Entity,Predicted_Entity
"Organized at Fort Craig , it was mustered on 23 November 1861 and served until 28 February 1862 .","['Fort Craig', (632, 633), 'ORG']","['Fort Craig', 13, 'LOC']"
Conrad Aiken - W. H. Auden - George Barker - John Berryman - Robert Bly - Hart Crane - E. E. Cummings - Donald Davie - James Dickey - H. D . - Keith Douglas - Richard Eberhart - T. S. Eliot - William Empson - David Gascoyne - W. S. Graham - Robert Graves - Thom Gunn - John Heath-Stubbs - Geoffrey Hill - Gerard Manley Hopkins - Ted Hughes - T. E. Hulme - David Jones - Philip Larkin - D. H. Lawrence - Denise Levertov - C. Day Lewis - Robert Lowell - Norman MacCaig - Hugh MacDiarmid - Louis MacNeice - Charles Madge - W. S. Merwin - Christopher Middleton - Harold Monro - Marianne Moore - Edwin Muir - Howard Nemerov - Charles Olson - Wilfred Owen - Sylvia Plath - Ezra Pound - F. T. Prince - Kathleen Raine - John Crowe Ransom - Herbert Read - Laura Riding - Anne Ridler - Michael Roberts - Theodore Roethke - Isaac Rosenberg - Louis Simpson - Edith Sitwell - W. D. Snodgrass - Stephen Spender - Wallace Stevens - Allen Tate - Dylan Thomas - R. S. Thomas - Charles Tomlinson - Vernon Watkins - Richard Wilbur - William Carlos Williams - James Wright - W. B. Yeats,"['C. Day Lewis', (743, 745), 'ORG']","['C. Day Lewis', 421, 'PERSON']"
*Seated figure of Sir Walter Scott for Powderham Castle ( 1832 ),"['Sir Walter Scott', (870, 872), 'ORG']","['Sir Walter Scott', 18, 'PERSON']"
*Seated figure of Sir Walter Scott for Powderham Castle ( 1832 ),"['Powderham Castle', (874, 875), 'LOC']","['Powderham Castle', 39, 'PERSON']"
Thomas Gabriel Fischer leaves Celtic Frost in April .,"['Celtic Frost', (894, 895), 'ORG']","['Celtic Frost', 30, 'PERSON']"
"Crested caracara , ''Caracara cheriway '' ( A )","['Crested caracara', (1119, 1120), 'ORG']","['Crested caracara', 0, 'LOC']"
"It was originally recorded by The Great Society , and later by Jefferson Airplane .","['Jefferson Airplane', (1171, 1172), 'ORG']","['Jefferson Airplane', 63, 'PERSON']"
' '' Mittani '' ',"['Mittani', (1180, 1180), 'ORG']","['Mittani', 5, 'LOC']"
13 Kevin Riley - ''Freshman '',"['Kevin Riley', (1500, 1501), 'ORG']","['Kevin Riley', 3, 'PERSON']"
Armani Jeans Milano 68Ã¢ÂÂ72 Khimki Moscow Region,"['Armani Jeans Milano', (1533, 1535), 'ORG']","['Armani Jeans Milano', 0, 'PERSON']"
'' Holy Roman Empire '' ' Ã¢ÂÂ Leopold I ( 1658Ã¢ÂÂ1705 ),"['Holy Roman Empire', (1768, 1770), 'ORG']","['Holy Roman Empire', 3, 'LOC']"
It flows from ÃÂgerisee through Lake Zug into the Reuss .,"['Lake Zug', (1802, 1803), 'LOC']","['Lake Zug', 34, 'ORG']"
' '' Crimean Khanate '' ' Ã¢ÂÂ MeÃÂ±li I Giray ( 1478Ã¢ÂÂ1515 ),"['Crimean Khanate', (1924, 1925), 'LOC']","['Crimean Khanate', 5, 'PERSON']"
Solicitor General for Scotland Ã¢ÂÂ Lesley Thomson,"['Solicitor General for Scotland', (2027, 2030), 'PERSON']","['Solicitor General for Scotland', 0, 'ORG']"
' '' 1985 Major League Baseball All-Star Game at the Hubert H. Humphrey Metrodome in Minneapolis,"['Hubert H. Humphrey Metrodome', (2081, 2084), 'ORG']","['Hubert H. Humphrey Metrodome', 53, 'PERSON']"
"Alex Stiebling - ( WEC , Pancrase , PRIDE , UFC , WFA )","['Pancrase', (2168, 2168), 'ORG']","['Pancrase', 25, 'LOC']"
"Jankov Most ( Iancaid , Iancov Most )","['Jankov Most', (2475, 2476), 'LOC']","['Jankov Most', 0, 'PERSON']"
Pekka Lagerblom Ã¢ÂÂ HamKam Ã¢ÂÂ 2014,"['HamKam', (2502, 2502), 'ORG']","['HamKam', 23, 'LOC']"
Juliana Margulies Ã¢ÂÂ The Good Wife '',"['Juliana Margulies', (2536, 2537), 'ORG']","['Juliana Margulies', 0, 'PERSON']"
'' Kingdom of England '' ' Ã¢ÂÂ Edgar ( 959Ã¢ÂÂ975 ),"['Edgar', (2665, 2665), 'ORG']","['Edgar', 34, 'PERSON']"
"30 ) , Loy Allen Jr . ( No .","['Loy Allen Jr .', (2785, 2788), 'ORG']","['Loy Allen Jr .', 7, 'PERSON']"
' '' Soraya Ã¢ÂÂ ''Soraya '' ' '',"['Soraya', (2936, 2936), 'PERSON']","['Soraya', 5, 'LOC']"
' '' Gavvy Cravath '' ',"['Gavvy Cravath', (3177, 3178), 'PERSON']","['Gavvy Cravath', 5, 'ORG']"
It was the discussion home for the Pilgrimage demo party for its first years .,"['Pilgrimage demo party', (3232, 3234), 'ORG']","['Pilgrimage demo party', 35, 'LOC']"
He was born in Belgrad .,"['Belgrad', (3440, 3440), 'ORG']","['Belgrad', 15, 'LOC']"
'' i.5 ) to have given Pertinax his first career break .,"['Pertinax', (3485, 3485), 'PERSON']","['Pertinax', 23, 'LOC']"
"15 on the Billboard '' 200 , and No .","['Billboard', (3545, 3545), 'ORG']","['Billboard', 10, 'LOC']"
; Jenny Wolek : played by Kathy Glass ( 1975Ã¢ÂÂ78 ) ; Brynn Thayer ( 1978Ã¢ÂÂ86 ),"['Kathy Glass', (3606, 3607), 'ORG']","['Kathy Glass', 26, 'PERSON']"
It is also found on Lord Howe Island .,"['Lord Howe Island', (3695, 3697), 'LOC']","['Lord Howe Island', 20, 'ORG']"
His son Svafrlami succeeded him .,"['Svafrlami', (3746, 3746), 'PERSON']","['Svafrlami', 8, 'LOC']"
*Crespel in Les contes d'Hoffmann '' ( 1881 ),"[""Les contes d'Hoffmann"", (3767, 3769), 'ORG']","[""Les contes d'Hoffmann"", 12, 'LOC']"
compared the book to Malory and admired its,"['Malory', (3795, 3795), 'PERSON']","['Malory', 21, 'LOC']"
"Hands Millpond in Cape May County , New Jersey","['Hands Millpond', (3824, 3825), 'LOC']","['Hands Millpond', 0, 'ORG']"
"The album 's lead single `` Better Believe It '' featuring Young Jeezy and Webbie , was released on July 14 , 2009 .","['Webbie', (3881, 3881), 'PERSON']","['Webbie', 75, 'LOC']"
"Dangarembga , Tsitsi : ''Nervous Conditions '' ( Ayebia , 2004 ) .","['Dangarembga , Tsitsi', (3939, 3941), 'PERSON']","['Dangarembga , Tsitsi', 0, 'LOC']"
*** Electorate of the Palatinate Ã¢ÂÂ Karl IV Philipp Theodor ( 1742Ã¢ÂÂ1799 ),"['Karl IV Philipp Theodor', (3958, 3961), 'ORG']","['Karl IV Philipp Theodor', 40, 'PERSON']"
'' Static Shock '',"['Static Shock', (3985, 3986), 'PERSON']","['Static Shock', 3, 'ORG']"
W.H. Auden - poet,"['W.H. Auden', (3988, 3989), 'ORG']","['W.H. Auden', 0, 'PERSON']"
*** Count MÃÂ³ric EsterhÃÂ¡zy ( 1917 ),"['Count MÃ\x83Â³ric EsterhÃ\x83Â¡zy', (4010, 4012), 'ORG']","['Count MÃ\x83Â³ric EsterhÃ\x83Â¡zy', 4, 'PERSON']"
"Al Khafji ( 76,279 )","['Al Khafji', (4236, 4237), 'LOC']","['Al Khafji', 0, 'PERSON']"
"Born in Salem District , he showed interest in Carnatic music even at an early age .","['Salem District', (4388, 4389), 'ORG']","['Salem District', 8, 'LOC']"
": GrÃÂ¤tz , ''Gesch .","['GrÃ\x83Â¤tz', (4493, 4493), 'PERSON']","['GrÃ\x83Â¤tz', 2, 'LOC']"
"In 1808 , his parents converted to Shakerism and joined the Pleasant Hill Shaker Society with their four children .","['Shakerism', (4768, 4768), 'ORG']","['Shakerism', 35, 'LOC']"
' '' Desert Wine '' ',"['Desert Wine', (4971, 4972), 'LOC']","['Desert Wine', 5, 'PERSON']"
Avril Lavigne Ã¢ÂÂ Goodbye Lullaby '',"['Goodbye Lullaby', (5077, 5078), 'ORG']","['Goodbye Lullaby', 21, 'PERSON']"
"The non-perfective personal suffixes , continued from Middle Indo-Aryan , are as follows :","['Middle Indo-Aryan', (5219, 5220), 'ORG']","['Middle Indo-Aryan', 54, 'LOC']"
Cauldron '' ( 2008 ),"['Cauldron', (5255, 5255), 'ORG']","['Cauldron', 0, 'LOC']"
It is found in Palestine and Libya .,"['Palestine', (5356, 5356), 'ORG']","['Palestine', 15, 'LOC']"
"He then signed for TuS Celle FC in 1995 , where he played for two years before joining Stuttgarter Kickers .","['Stuttgarter Kickers', (5428, 5429), 'ORG']","['Stuttgarter Kickers', 87, 'PERSON']"
Cuando llega el amor '',"['Cuando llega el amor', (5501, 5504), 'ORG']","['Cuando llega el amor', 0, 'LOC']"
February 21 : SBS Plus is launched .,"['SBS Plus', (5627, 5628), 'LOC']","['SBS Plus', 14, 'ORG']"
"Today , it is part of Campbell Valley Regional Park .","['Campbell Valley Regional Park', (5670, 5673), 'LOC']","['Campbell Valley Regional Park', 22, 'ORG']"
ParanÃÂ¡ ( Except Curitiba ),"['ParanÃ\x83Â¡', (5675, 5675), 'LOC']","['ParanÃ\x83Â¡', 0, 'PERSON']"
"Staind , Linkin Park , System of a Down , New Found Glory","['Linkin Park', (5727, 5728), 'ORG']","['Linkin Park', 9, 'LOC']"
He also learned to imitate Spencer Chamberlain 's ( singer of Underoath ) screamed vocal technique .,"['Underoath', (5764, 5764), 'ORG']","['Underoath', 62, 'LOC']"
Member of the North Rhine-Westphalia Academy for Sciences and Arts ( since 2002 ),"['North Rhine-Westphalia Academy for Sciences and Arts', (5901, 5907), 'ORG']","['North Rhine-Westphalia Academy for Sciences and Arts', 14, 'LOC']"
"He sends his crew off in teams to explore the ship , while he and Zoe head to a section that he suspects holds the more valuable supplies .","['Zoe', (6494, 6494), 'PERSON']","['Zoe', 66, 'ORG']"
==Race One ( Daytona International Speedway ) ==,"['Daytona International Speedway', (6614, 6616), 'LOC']","['Daytona International Speedway', 13, 'ORG']"
Acharya Narendra Dev ( 6 December 1951 Ã¢ÂÂ 31 May 1954 ),"['Acharya Narendra Dev', (6645, 6647), 'ORG']","['Acharya Narendra Dev', 0, 'PERSON']"
"It is located in the La Paz Department , Larecaja Province , Sorata Municipality .","['La Paz Department', (6780, 6782), 'LOC']","['La Paz Department', 21, 'ORG']"
'' AÃÂ¯n SÃÂ©fra '' ',"['AÃ\x83Â¯n SÃ\x83Â©fra', (6856, 6857), 'LOC']","['AÃ\x83Â¯n SÃ\x83Â©fra', 3, 'PERSON']"
It is served by Castronno railway station .,"['Castronno railway station', (6868, 6870), 'LOC']","['Castronno railway station', 16, 'PERSON']"
Adolphe Valette was a teacher there from 1906 to 1920 .,"['Adolphe Valette', (7039, 7040), 'ORG']","['Adolphe Valette', 0, 'PERSON']"
' '' Hejaz '' ',"['Hejaz', (7085, 7085), 'ORG']","['Hejaz', 5, 'LOC']"
He was born in Connecticut in 1755 and moved with his family in 1764 to Arlington in the New Hampshire Grants .,"['New Hampshire Grants', (7274, 7276), 'LOC']","['New Hampshire Grants', 89, 'ORG']"
"Its headquarters is in Gazcue , Santo Domingo .","['Santo Domingo', (7289, 7290), 'LOC']","['Santo Domingo', 32, 'ORG']"
"; 11 May 2012 Ã¢ÂÂ Kangar to Sungai Petani ,","['Sungai Petani', (7351, 7352), 'LOC']","['Sungai Petani', 31, 'PERSON']"
"In autumn 2006 , he played Galileo in David Hare 's adaption of Brecht 's","['Galileo', (7400, 7400), 'PERSON']","['Galileo', 27, 'LOC']"
"In autumn 2006 , he played Galileo in David Hare 's adaption of Brecht 's","['David Hare', (7402, 7403), 'ORG']","['David Hare', 38, 'PERSON']"
"Spongillaflies were formerly placed in the Osmyloidea , as their closest relatives were held to be the osmylids ( Osmylidae ) and the Nevrorthidae .","['Osmyloidea', (7465, 7465), 'ORG']","['Osmyloidea', 43, 'LOC']"
''Sog-goo-ya-waut-hau '' ( Red Jacket ),"['Red Jacket', (7541, 7542), 'PERSON']","['Red Jacket', 27, 'LOC']"
Eerste Divisie ( relegation ),"['Eerste Divisie', (7584, 7585), 'ORG']","['Eerste Divisie', 0, 'PERSON']"
"January 31 - Sao Paulo , Brazil","['Sao Paulo', (7660, 7661), 'ORG']","['Sao Paulo', 13, 'LOC']"
"Rookie Blue '' ( season 1 , episode 11 `` To Serve or Protect '' ( September 2010 ) )","['Rookie Blue', (7678, 7679), 'ORG']","['Rookie Blue', 0, 'PERSON']"
"Jehu severed Israel 's alliances with Phoenicia and Judah , and became subject to Assyria .","['Judah', (7746, 7746), 'ORG']","['Judah', 52, 'LOC']"
The album artwork was designed by Beck .,"['Beck', (7806, 7806), 'PERSON']","['Beck', 34, 'LOC']"
Lack of success in this area led him to the conviction that political involvement was necessary for results - he was subsequently involved in Young Fine Gael until 1991 .,"['Young Fine Gael', (7836, 7838), 'LOC']","['Young Fine Gael', 142, 'ORG']"
"[[Neolithic dwellings at Skara Brae , Orkney","['Skara Brae', (7861, 7862), 'ORG']","['Skara Brae', 25, 'LOC']"
"She held the same position in Dagbladet '' in 2005 , has edited the periodidal Syn og Segn '' and has released several books .","['Dagbladet', (8014, 8014), 'ORG']","['Dagbladet', 30, 'LOC']"
Much like Maxwell Montes .,"['Maxwell Montes', (8058, 8059), 'LOC']","['Maxwell Montes', 10, 'PERSON']"
'' Admiral P '' ',"['Admiral P', (8146, 8147), 'PERSON']","['Admiral P', 3, 'ORG']"
"He was first ejected from the position by Thomas Cranmer , then Archbishop of York , in 1526 in favor of Thomas Wynter , a favorite of Cardinal Wolsey .","['Archbishop of York', (8181, 8183), 'PERSON']","['Archbishop of York', 64, 'LOC']"
'' Esquire Singapore '',"['Esquire Singapore', (8281, 8282), 'ORG']","['Esquire Singapore', 3, 'LOC']"
'' Kingdom of Dahomey '' ' Ã¢ÂÂ Dakodonou ( 1620Ã¢ÂÂ1645 ),"['Kingdom of Dahomey', (8324, 8326), 'ORG']","['Kingdom of Dahomey', 3, 'LOC']"
'' Kingdom of Dahomey '' ' Ã¢ÂÂ Dakodonou ( 1620Ã¢ÂÂ1645 ),"['Dakodonou', (8330, 8330), 'PERSON']","['Dakodonou', 34, 'LOC']"
== '' Dahoam is Dahoam ( At Home is At Home ) ''==,"['Dahoam', (8533, 8533), 'ORG']","['Dahoam', 16, 'LOC']"
"Kirkjuvatn , SuÃÂ°uroy , 0,17 kmÃÂ²","['SuÃ\x83Â°uroy', (8625, 8625), 'LOC']","['SuÃ\x83Â°uroy', 13, 'PERSON']"
It was released in 1998 as a tribute to late rappers Tupac Shakur and Biggie Smalls .,"['Biggie Smalls', (8733, 8734), 'ORG']","['Biggie Smalls', 70, 'PERSON']"
'' Aura II '',"['Aura II', (8766, 8767), 'ORG']","['Aura II', 3, 'PERSON']"
The lyrics were created by Sameer .,"['Sameer', (8774, 8774), 'PERSON']","['Sameer', 27, 'LOC']"
** '' Kingdom of Sussex '' ' Ã¢ÂÂ Ealdwulf ( c.772-c.791 ),"['Ealdwulf', (8869, 8869), 'PERSON']","['Ealdwulf', 36, 'LOC']"
James Inhofe ( R-OK ) 2015-present,"['James Inhofe', (9024, 9025), 'ORG']","['James Inhofe', 0, 'PERSON']"
Paul Sturrock scored all five in a 5Ã¢ÂÂ0 Premier Division win against Morton in November 1984 .,"['Morton', (9143, 9143), 'ORG']","['Morton', 73, 'LOC']"
' '' The Waifs '' ',"['The Waifs', (9314, 9315), 'ORG']","['The Waifs', 5, 'PERSON']"
"He was also a member of the Buffalo Bills , Cincinnati Bengals , Detroit Lions and Atlanta Falcons .","['Buffalo Bills', (9328, 9329), 'ORG']","['Buffalo Bills', 28, 'LOC']"
"Mar del Plata , Argentina","['Mar del Plata', (9400, 9402), 'LOC']","['Mar del Plata', 0, 'PERSON']"
Home Riggs Popham ( 1762Ã¢ÂÂ1820 ),"['Home Riggs Popham', (9416, 9418), 'PERSON']","['Home Riggs Popham', 0, 'ORG']"
He served in India including Waziristan ( 1917 ) between 1914-1919 with the 2nd Battalion Devonshire Regiment during the First World War .,"['Waziristan', (9445, 9445), 'ORG']","['Waziristan', 29, 'LOC']"
"Joslin Diabetes Center , Boston","['Joslin Diabetes Center', (9581, 9583), 'ORG']","['Joslin Diabetes Center', 0, 'PERSON']"
Max Talbot ( 5 ),"['Max Talbot', (9618, 9619), 'ORG']","['Max Talbot', 0, 'PERSON']"
' '' Fostiras '' ',"['Fostiras', (9669, 9669), 'ORG']","['Fostiras', 5, 'LOC']"
km of federal route 1 from Yong Peng to Ayer Hitam,"['Yong Peng', (9752, 9753), 'LOC']","['Yong Peng', 27, 'PERSON']"
"Osmo Tapio RÃÂ¤ihÃÂ¤lÃÂ¤ Ã¢ÂÂ composer , producer ( all tracks )","['Osmo Tapio RÃ\x83Â¤ihÃ\x83Â¤lÃ\x83Â¤', (9768, 9770), 'PERSON']","['Osmo Tapio RÃ\x83Â¤ihÃ\x83Â¤lÃ\x83Â¤', 0, 'ORG']"
"On Spitsbergen , Svalbard , Nathorst Land and Nathorstbreen are named after him .","['Nathorst Land', (9794, 9795), 'LOC']","['Nathorst Land', 28, 'ORG']"
The first opening theme is ''Break Out '' by JAM Project while the first ending song is ''Yell ! !,"['JAM Project', (9984, 9985), 'ORG']","['JAM Project', 45, 'PERSON']"
Soloist ; HallÃÂ© Orchestra cond .,"['HallÃ\x83Â© Orchestra', (10044, 10045), 'ORG']","['HallÃ\x83Â© Orchestra', 10, 'PERSON']"
"As It , he battled the Hulk .","['Hulk', (10171, 10171), 'PERSON']","['Hulk', 23, 'LOC']"
"On 4 July 2008 , he opened for Def Leppard and Whitesnake .","['Def Leppard', (10198, 10199), 'ORG']","['Def Leppard', 31, 'PERSON']"
"On 4 July 2008 , he opened for Def Leppard and Whitesnake .","['Whitesnake', (10201, 10201), 'ORG']","['Whitesnake', 47, 'LOC']"
' '' Aprilia '' ',"['Aprilia', (10326, 10326), 'ORG']","['Aprilia', 5, 'LOC']"
"He died in Wylde Green , Sutton Coldfield on 8 February 1927 .","['Sutton Coldfield', (10447, 10448), 'LOC']","['Sutton Coldfield', 25, 'ORG']"
Premier of Quebec Ã¢ÂÂ Louis-Alexandre Taschereau,"['Premier of Quebec', (10512, 10514), 'PERSON']","['Premier of Quebec', 0, 'LOC']"
"It has offices in Edmonton , Halifax , Montreal , Toronto , Vancouver , and Victoria .","['Edmonton', (10567, 10567), 'ORG']","['Edmonton', 18, 'LOC']"
"It has offices in Edmonton , Halifax , Montreal , Toronto , Vancouver , and Victoria .","['Halifax', (10569, 10569), 'ORG']","['Halifax', 29, 'LOC']"
"Westford Township , Martin County","['Westford Township', (10606, 10607), 'ORG']","['Westford Township', 0, 'LOC']"
R.L. Stine 's The Haunting Hour '',"[""R.L. Stine 's The Haunting Hour"", (10688, 10693), 'ORG']","[""R.L. Stine 's The Haunting Hour"", 0, 'PERSON']"
' '' Brabourne Stadium '' ',"['Brabourne Stadium', (10697, 10698), 'LOC']","['Brabourne Stadium', 5, 'ORG']"
'' Principality of Serbia '' ' Ã¢ÂÂ Vlastimir ( 835Ã¢ÂÂ850 ),"['Vlastimir', (10736, 10736), 'PERSON']","['Vlastimir', 38, 'LOC']"
It is separated from the Bache Peninsula by Flagler Bay .,"['Flagler Bay', (10748, 10749), 'LOC']","['Flagler Bay', 44, 'PERSON']"
Selangor FA ( Loan ),"['Selangor FA', (10772, 10773), 'ORG']","['Selangor FA', 0, 'PERSON']"
Until 2014 it was part of Novoazovsk Raion when due to the 2014 Russian aggression it was transferred to Volnovakha Raion .,"['Novoazovsk Raion', (10783, 10784), 'LOC']","['Novoazovsk Raion', 26, 'ORG']"
Until 2014 it was part of Novoazovsk Raion when due to the 2014 Russian aggression it was transferred to Volnovakha Raion .,"['Volnovakha Raion', (10796, 10797), 'LOC']","['Volnovakha Raion', 105, 'ORG']"
"Denny Hamlin was third , Matt Kenseth fourth and Mark Martin fifth .","['Mark Martin', (10819, 10820), 'ORG']","['Mark Martin', 49, 'PERSON']"
It features the Eleventh Doctor along with Amy Pond and Rory Williams .,"['Eleventh Doctor', (11005, 11006), 'PERSON']","['Eleventh Doctor', 16, 'ORG']"
"Melvin Mora , former Baltimore Orioles player","['Baltimore Orioles', (11023, 11024), 'ORG']","['Baltimore Orioles', 21, 'PERSON']"
"Later , he helped design and build the first Aswan dam .","['Aswan dam', (11050, 11051), 'ORG']","['Aswan dam', 45, 'LOC']"
"It serves the Lundy 's Lane area , and is part of the District School Board of Niagara .","['District School Board of Niagara', (11123, 11127), 'LOC']","['District School Board of Niagara', 54, 'ORG']"
'' Sikh Confederacy '' ' Ã¢ÂÂ,"['Sikh Confederacy', (11215, 11216), 'ORG']","['Sikh Confederacy', 3, 'PERSON']"
"'' Pediasia epineura '' ( Meyrick , 1883 )","['Pediasia epineura', (11258, 11259), 'ORG']","['Pediasia epineura', 3, 'LOC']"
'' Ealing Gazette '',"['Ealing Gazette', (11267, 11268), 'ORG']","['Ealing Gazette', 3, 'PERSON']"
"Guercino ( 1591Ã¢ÂÂ1666 ) , 12 artworks : INV 89 , INV 91 ( ID 's )","['Guercino', (11475, 11475), 'PERSON']","['Guercino', 0, 'LOC']"
' '' San Marino '' ',"['San Marino', (11609, 11610), 'LOC']","['San Marino', 5, 'ORG']"
"TDECU Stadium Ã¢ÂÂ University of Houston , Houston , Texas","['TDECU Stadium', (11672, 11673), 'LOC']","['TDECU Stadium', 0, 'ORG']"
"She reached Charleston , South Carolina , via San Pedro , California , and the Panama Canal in June 1946 and again underwent overhaul .","['San Pedro , California', (11807, 11810), 'ORG']","['San Pedro , California', 46, 'LOC']"
"She reached Charleston , South Carolina , via San Pedro , California , and the Panama Canal in June 1946 and again underwent overhaul .","['Panama Canal', (11814, 11815), 'LOC']","['Panama Canal', 79, 'ORG']"
"The album was released in 1962 , by King .","['King', (11873, 11873), 'ORG']","['King', 36, 'PERSON']"
"She was succeeded by her younger sister , Charlotte .","['Charlotte', (12029, 12029), 'PERSON']","['Charlotte', 42, 'LOC']"
Streptocitta albicollis '' ( White-necked myna ) - LC,"['Streptocitta albicollis', (12031, 12032), 'ORG']","['Streptocitta albicollis', 0, 'LOC']"
Montreal Canadiens Ã¢ÂÂ 93 points,"['Montreal Canadiens', (12163, 12164), 'ORG']","['Montreal Canadiens', 0, 'PERSON']"
' '' Pachuca Juniors '' ',"['Pachuca Juniors', (12231, 12232), 'ORG']","['Pachuca Juniors', 5, 'PERSON']"
"Allegheny ( Meadville , Pennsylvania )","['Allegheny', (12235, 12235), 'ORG']","['Allegheny', 0, 'LOC']"
'' Silla '' ' Ã¢ÂÂ King of Silla,"['Silla', (12359, 12359), 'ORG']","['Silla', 3, 'LOC']"
"On October 4 , 2005 , the United Nations Security Council issued a statement demanding the FDLR disarm and leave the Democratic Republic of the Congo immediately .","['Democratic Republic of the Congo', (12387, 12391), 'LOC']","['Democratic Republic of the Congo', 117, 'ORG']"
"Ray Fisher Stadium , Ann Arbor , named for Ray Fisher","['Ray Fisher Stadium', (12458, 12460), 'ORG']","['Ray Fisher Stadium', 0, 'PERSON']"
"Ray Fisher Stadium , Ann Arbor , named for Ray Fisher","['Ann Arbor', (12462, 12463), 'LOC']","['Ann Arbor', 21, 'PERSON']"
"The album was released in 1987 for Uptown Records and was produced by names such as DJ Eddie F ( tracks 2 , 7-9 ) , Teddy Riley ( tracks 3-8 , 10-11 , 13 ) , and Marley Marl ( 1 , 12 ) .","['DJ Eddie F', (12604, 12606), 'ORG']","['DJ Eddie F', 84, 'PERSON']"
: :Ex-wife of Bill Eckert .,"['Bill Eckert', (12855, 12856), 'ORG']","['Bill Eckert', 14, 'PERSON']"
William Jennings Bryan and Adlai E. Stevenson I ( D ),"['Adlai E. Stevenson I', (12903, 12906), 'ORG']","['Adlai E. Stevenson I', 27, 'PERSON']"
Mahmoud Al-Gohari ( 3 ),"['Mahmoud Al-Gohari', (12910, 12911), 'ORG']","['Mahmoud Al-Gohari', 0, 'PERSON']"
' '' Manchester United '' ',"['Manchester United', (12961, 12962), 'ORG']","['Manchester United', 5, 'LOC']"
"Bounded by Shumen Peak to the east-northeast , and Gabrovo Knoll to the west-southwest .","['Shumen Peak', (13036, 13037), 'LOC']","['Shumen Peak', 11, 'PERSON']"
"Bounded by Shumen Peak to the east-northeast , and Gabrovo Knoll to the west-southwest .","['Gabrovo Knoll', (13043, 13044), 'LOC']","['Gabrovo Knoll', 51, 'ORG']"
"Bientina , Firenze , Tuscany , Italy","['Firenze', (13085, 13085), 'ORG']","['Firenze', 11, 'LOC']"
It is affiliated to Vidyasagar University .,"['Vidyasagar University', (13135, 13136), 'LOC']","['Vidyasagar University', 20, 'ORG']"
"The Ambassador , Phanatik )","['Phanatik', (13153, 13153), 'PERSON']","['Phanatik', 17, 'LOC']"
"Argentina , Australia , Bangladesh , Bhutan , Brazil , Bosnia and Herzegovina , Canada , China , Denmark , Egypt , Fiji , Gambia , Germany , Ghana , India , Indonesia , Jordan , Kenya , Korea , Malaysia , Nepal , Netherlands , New Zealand , Nigeria , Norway , Pakistan , Philippines , Russia , Sri Lanka , Samoa , Sweden , Tanzania , Turkey , Uganda , United Kingdom , United States , Ukraine , Zambia , Zimbabwe","['Gambia', (13285, 13285), 'ORG']","['Gambia', 122, 'LOC']"
He made his debut for Saipa against Gostaresh Foulad as a substitute for Mehdi Torabi in August 2014 .,"['Saipa', (13389, 13389), 'ORG']","['Saipa', 22, 'LOC']"
He made his debut for Saipa against Gostaresh Foulad as a substitute for Mehdi Torabi in August 2014 .,"['Gostaresh Foulad', (13391, 13392), 'ORG']","['Gostaresh Foulad', 36, 'PERSON']"
He made his debut for Saipa against Gostaresh Foulad as a substitute for Mehdi Torabi in August 2014 .,"['Mehdi Torabi', (13397, 13398), 'PERSON']","['Mehdi Torabi', 73, 'ORG']"
