sentence,entities
"Chillicothe Paints ( 1993â2008 , joined the Prospect League )","[['Chillicothe Paints', (263, 264), 'ORG'], ['Prospect League', (270, 271), 'ORG']]"
Antoine Dadin de Hauteserre,[]
: ' '' Fifth Brother ( portrayed by Philip Anthony-Rodriguez ) ' '',"[['Philip Anthony-Rodriguez', (285, 286), 'PER']]"
ChÃ¢teau de Champs-sur-Marne,[]
Secretary-General of the United Nations,[]
1978 demo released on Off the Wall ( Special Edition ) '' ( 2001 ),"[['Off the Wall ( Special Edition )', (302, 308), 'ORG']]"
North Fanling New Town ( Extension of Fanling-Sheung Shui New Town ),"[['North Fanling New Town', (313, 316), 'LOC'], ['Fanling-Sheung Shui New Town', (320, 323), 'LOC']]"
"Carina WitthÃ¶ft , 6â3 , 7â5","[['Carina WitthÃ¶ft', (325, 326), 'PER']]"
File : CCStaClara.JPG|Through Santa Clara,[]
Eveno-Bytantaysky National District,[]
"'' Euxoa centralis '' ( Staudinger , 1889 )","[['Euxoa centralis', (340, 341), 'ORG']]"
Diocese of San AndrÃ©s Tuxtla,[]
"Palisades , New York",[]
Rosephanye Powell ( born 1962 ),"[['Rosephanye Powell', (357, 358), 'PER']]"
Chum Ta Bong District,[]
Epica â Consign to Oblivion '',"[['Epica', (367, 367), 'ORG'], ['Consign to Oblivion', (369, 371), 'ORG']]"
"List of Flywheel , Shyster , and Flywheel ( 1990 radio series ) episodes",[]
"'' Epirrhoe rivata '' ( HÃ¼bner , 1813 )","[['Epirrhoe rivata', (388, 389), 'LOC']]"
** '' Justice League Elite '' :,"[['Justice League Elite', (398, 400), 'ORG']]"
It is found in Peru .,"[['Peru', (407, 407), 'LOC']]"
** Ecuador : 7 % of the population,"[['Ecuador', (410, 410), 'LOC']]"
"Translator of KCCV-FM , Overland Park , Kansas","[['KCCV-FM', (419, 419), 'ORG']]"
Mrs Brigitte VallÃ©e .,"[['Brigitte VallÃ©e', (426, 427), 'PER']]"
"Lipiny , CiechanÃ³w County",[]
Tatiana Volosozhar / Maxim Trankov,"[['Tatiana Volosozhar', (433, 434), 'PER']]"
"Raymerville â Markville East , Ontario",[]
"Robert Maxwell , 5th Lord Maxwell ( 1493â1546 )","[['Robert Maxwell , 5th Lord Maxwell', (444, 449), 'PER']]"
Prince Rupert of the Rhine 15 August 1672 â 19 November 1682,"[['Prince Rupert of the Rhine', (453, 457), 'PER']]"
Å½elezniÄnÃ¡ spoloÄnosÅ¥ Slovensko,[]
"On February 6 , 1925 he retired from active duty and died in Santiago in 1938 .","[['Santiago', (481, 481), 'LOC']]"
The 67 's finished in last place in the 2012â13 OHL season with just 16 wins .,"[['2012â\x80\x9313 OHL season', (494, 496), 'ORG']]"
Internet Exchange Point ( IXP ),"[['Internet Exchange Point', (502, 504), 'ORG']]"
"`` Suzukake no Ki no Michi de `` Kimi no Hohoemi o Yume ni Miru '' to Itte Shimattara Bokutachi no Kankei wa DÅ Kawatte Shimau no ka , Bokunari ni Nan-nichi ka Kangaeta Ue de no Yaya Kihazukashii Ketsuron no YÅ na Mono ''","[[""Suzukake no Ki no Michi de `` Kimi no Hohoemi o Yume ni Miru '' to Itte Shimattara Bokutachi no Kankei wa DÅ\x8d Kawatte Shimau no ka , Bokunari ni Nan-nichi ka Kangaeta Ue de no Yaya Kihazukashii Ketsuron no YÅ\x8d na Mono"", (509, 551), 'ORG']]"
It was released as the first single from their 2004 album Everybody Loves a Happy Ending '' and is the first single that features both original members Roland Orzabal and Curt Smith since 1990 .,"[['Everybody Loves a Happy Ending', (564, 568), 'ORG'], ['Roland Orzabal', (580, 581), 'PER'], ['Curt Smith', (583, 584), 'PER']]"
Conservative]] Leader David Cameron ),"[['David Cameron', (590, 591), 'PER']]"
"Much of the story takes place in Flagstaff , Arizona , where Sgt .","[['Flagstaff , Arizona', (600, 602), 'LOC']]"
'' Invisible Touch '' â Genesis,"[['Invisible Touch', (608, 609), 'ORG']]"
United States Senate Librarian,[]
Live at Sin-Ã© ( Legacy Edition ) '',"[['Live at Sin-Ã© ( Legacy Edition )', (617, 623), 'ORG']]"
"' '' Calgary '' ' , ' '' Canada '' '","[['Calgary', (627, 627), 'LOC'], ['Canada', (633, 633), 'LOC']]"
"*2001 â Hugh Hefner , Roastmaster Jimmy Kimmel","[['Hugh Hefner', (638, 639), 'PER']]"
Aigle Noir AC,[]
"Hathaways Mountain Pines , California",[]
Peter T. King,[]
Charlie Clouser â Nine Inch Nails,"[['Charlie Clouser', (655, 656), 'PER']]"
"Former collegiate church St Bartholomew , LiÃ¨ge","[['Former collegiate church St Bartholomew', (661, 665), 'ORG']]"
"It was created on 28 January 1831 for Standish O'Grady , Attorney-General for Ireland and Lord Chief Baron of the Exchequer for Ireland .","[[""Standish O'Grady"", (676, 677), 'PER'], ['Attorney-General for Ireland', (679, 681), 'ORG'], ['Lord Chief Baron of the Exchequer for Ireland', (683, 690), 'ORG']]"
ZlatÃ© Moravce District,[]
Wilhelm Gustav Franz Herter,[]
"Thomasville , Missouri",[]
"Clement Poitrenaud , 14 .","[['Clement Poitrenaud', (702, 703), 'ORG']]"
Yahn | Yazdan Chah | Yegi | Yekkeh Derakht | Yosht | Yusefabad | Yush | Yushu,"[['Yahn', (707, 707), 'LOC'], ['Yazdan Chah', (709, 710), 'LOC'], ['Yegi', (712, 712), 'LOC'], ['Yekkeh Derakht', (714, 715), 'LOC'], ['Yosht', (717, 717), 'LOC'], ['Yusefabad', (719, 719), 'LOC'], ['Yush', (721, 721), 'LOC']]"
1982 Tour de France,[]
"John Denison-Pender , 1st Baron Pender",[]
"'' Glyphipterix iometalla '' ( Meyrick , 1880 )","[['Glyphipterix iometalla', (735, 736), 'LOC']]"
"'' Zygaena cynarae '' ( Esper , 1789 )","[['Zygaena cynarae', (744, 745), 'LOC']]"
'' Super World of Sports '' ',"[['Super World of Sports', (753, 756), 'ORG']]"
Chananel ben Chushiel,[]
Bobby Rush ( D ),"[['Bobby Rush', (762, 763), 'PER']]"
Legend of Chun Hyang '',"[['Legend of Chun Hyang', (767, 770), 'ORG']]"
BBC ( Test Match Special '' ),"[['BBC', (772, 772), 'ORG'], ['Test Match Special', (774, 776), 'ORG']]"
Bruce Beresford ( Non-Jew ),"[['Bruce Beresford', (779, 780), 'PER']]"
"It was also released along with Visual Studio 2005 , Microsoft SQL Server 2005 , and BizTalk 2006 .","[['Visual Studio 2005', (790, 792), 'ORG'], ['Microsoft SQL Server 2005', (794, 797), 'ORG'], ['BizTalk', (800, 800), 'ORG']]"
Leonardo RodrÃ­guez SolÃ­s,[]
"She was born in Aldsworth , Gloucestershire , England on 10 January 1836 .","[['Aldsworth', (810, 810), 'LOC'], ['Gloucestershire', (812, 812), 'LOC'], ['England', (814, 814), 'LOC']]"
** Kyoto National Museum ( early production cast ),"[['Kyoto National Museum', (821, 823), 'ORG']]"
List of years in Brazil,[]
The International League of Dermatological Societies,[]
In June 1999 it was sold to National Express who in September 2004 sold it to Connex .,"[['National Express', (847, 848), 'ORG'], ['Connex', (856, 856), 'ORG']]"
"Later reductions were extended into the areas that correspond to Argentina , Brazil , Bolivia and Uruguay .","[['Argentina', (868, 868), 'LOC'], ['Brazil', (870, 870), 'LOC'], ['Bolivia', (872, 872), 'LOC'], ['Uruguay', (874, 874), 'LOC']]"
"It is found in Mexico , Guatemala , Costa Rica , Panama , Colombia , Venezuela and Brazil .","[['Mexico', (880, 880), 'LOC'], ['Guatemala', (882, 882), 'LOC'], ['Costa Rica', (884, 885), 'LOC'], ['Panama', (887, 887), 'LOC'], ['Colombia', (889, 889), 'LOC'], ['Venezuela', (891, 891), 'LOC'], ['Brazil', (893, 893), 'LOC']]"
' '' Michele Morosini '' ' ( 1308â1382 ) was ''doge '' from June 1382 until his death in October of the same year .,"[['Michele Morosini', (897, 898), 'PER']]"
20px WÅadysÅaw I the Elbow-high,[]
"Misawa AB , Japan , 29 November 1965 â 15 May 1971","[['Misawa AB', (925, 926), 'ORG'], ['Japan', (928, 928), 'LOC']]"
Flatnose xenocongrid eel,[]
"He resigned in March 1906 to run for West Hobart , but was unsuccessful .","[['West Hobart', (948, 949), 'LOC']]"
LÄpugiu de Jos,[]
Chinantec of OzumacÃ­n,[]
*October 4 â Drew Stubbs,[]
16th Troop Carrier Squadron : attached 14 November 1954 â 8 July 1955,"[['16th Troop Carrier Squadron', (966, 969), 'ORG']]"
File : Bdg fontannaPotop 2 10-2013.jpg|View from the foutain `` Deluge '',[]
It was described by Warren in 1892 .,"[['Warren', (995, 995), 'PER']]"
Varghese Payyappilly Palakkappilly,[]
"It sold 184,000 in traditional album sales ( down 65 percent ) and was beaten to the top by Adele 's 25 '' , which debuted at number one with a record-breaking 3.38 million .","[['Adele', (1021, 1021), 'PER'], ['25', (1023, 1023), 'ORG']]"
"He was born in in Sundridge , Ontario .","[['Sundridge , Ontario', (1042, 1044), 'LOC']]"
Super League Greece : 1982â83,"[['Super League Greece', (1046, 1048), 'ORG']]"
"Christmas Island , on 8 November 1957 , 28 April , 22 August , 2 September , 11 September , or 23 September 1958","[['Christmas Island', (1051, 1052), 'LOC']]"
Guy Berryman ( Coldplay ),"[['Guy Berryman', (1075, 1076), 'PER'], ['Coldplay', (1078, 1078), 'ORG']]"
"Jason Schwartzman , Isabelle Huppert , Dustin Hoffman","[['Jason Schwartzman', (1080, 1081), 'PER'], ['Isabelle Huppert', (1083, 1084), 'PER']]"
' '' Lena Springs '' ',"[['Lena Springs', (1090, 1091), 'PER']]"
He is a former England under-21 international .,"[['England under-21 international', (1098, 1100), 'ORG']]"
"Clement of Alexandria , ''Stromata '' 1.131.6 .","[['Clement of Alexandria', (1102, 1104), 'PER']]"
Human Rights Commission of Malaysia,[]
The elevation is 3944 feet ( 1202 m ) above sea level .,"[['above sea level', (1124, 1126), 'ORG']]"
Jean FrÃ©dÃ©ric Frenet,[]
** '' Duchy of Naples '' ' â Gregory III ( 864â870 ),"[['Duchy of Naples', (1133, 1135), 'LOC'], ['Gregory III', (1139, 1140), 'PER']]"
Poland in the Eurovision Song Contest,[]
'' Space Heater ( album ) '',"[['Space Heater ( album )', (1151, 1155), 'ORG']]"
"Thompson International Speedway â Thompson , Connecticut","[['Thompson International Speedway', (1157, 1159), 'ORG']]"
"Recorded at Alberts Studio , London .","[['Alberts Studio', (1166, 1167), 'ORG'], ['London', (1169, 1169), 'LOC']]"
West Herzegovina Canton,[]
Ili Kazakh Autonomous Prefecture,[]
**London : Thames & Hudson .,"[['Thames & Hudson', (1180, 1182), 'ORG']]"
"Takht Sri Hazur Sahib , Nanded","[['Takht Sri Hazur Sahib', (1184, 1187), 'ORG']]"
lifebelt]]s that survived the sinking is on display at the Imperial War Museum North in Manchester,"[['Imperial War Museum North', (1200, 1203), 'ORG']]"
His father was Abd Manaf ibn Qusai .,"[['Abd Manaf ibn Qusai', (1209, 1212), 'PER']]"
"Borg El Arab Stadium , Alexandria , Egypt","[['Borg El Arab Stadium', (1214, 1217), 'ORG'], ['Alexandria', (1219, 1219), 'LOC']]"
`` A Different Corner '',"[['A Different Corner', (1223, 1225), 'ORG']]"
1283 : The Yuan Dynasty claim possession of the Penghu Islands,"[['Yuan Dynasty', (1230, 1231), 'ORG']]"
"Alain Delon , Richard Conte , Carla Gravina","[['Alain Delon', (1238, 1239), 'PER'], ['Richard Conte', (1241, 1242), 'PER']]"
"**Monarch - George V , King of the United Kingdom ( 1910â1936 )","[['George V', (1248, 1249), 'PER'], ['King of the United Kingdom', (1251, 1255), 'ORG']]"
"Helene Hayman , Baroness Hayman",[]
"He was born in Drummond Township , Canada West in 1841 , the son of Irish immigrants , and educated in Perth .","[['Drummond Township', (1268, 1269), 'ORG'], ['Canada West', (1271, 1272), 'ORG'], ['Irish', (1279, 1279), 'LOC'], ['Perth', (1285, 1285), 'LOC']]"
' '' Zadie Smith '' ',"[['Zadie Smith', (1289, 1290), 'PER']]"
"Glencoe , KwaZulu-Natal",[]
'' Polystichum acrostichoides '' ( Michx .,"[['Polystichum acrostichoides', (1297, 1298), 'LOC']]"
It is on the Campaign for Real Ale 's National Inventory of Historic Pub Interiors .,"[['Campaign for Real Ale', (1307, 1310), 'ORG'], ['National Inventory of Historic Pub Interiors', (1312, 1317), 'ORG']]"
`` You 're the Voice '',"[[""You 're the Voice"", (1320, 1323), 'ORG']]"
"A few months later two planes , one of them named ''AtlÃ¢ntico '' , were sent by ship to Montevideo and flown to Buenos Aires .","[['Montevideo', (1344, 1344), 'LOC'], ['Buenos Aires', (1348, 1349), 'LOC']]"
"In 1910 , the material was sent to the American Museum of Natural History in New York and it was described in 1911 .","[['American Museum of Natural History', (1360, 1364), 'ORG'], ['New York', (1366, 1367), 'LOC']]"
New York State Route 5,[]
"Des pÃ¨res , des hommes et des frÃ¨res",[]
Two and a Half Men,[]
Before 1945 the area was part of Germany .,"[['Germany', (1400, 1400), 'LOC']]"
5000-meter run â 14:15.61 ( 2015 ),"[['5000-meter run', (1402, 1403), 'ORG']]"
"Sridevi , Sanjay Dutt , Rahul Roy","[['Sridevi', (1409, 1409), 'PER'], ['Sanjay Dutt', (1411, 1412), 'PER']]"
Miranda Martino as the Singer,"[['Miranda Martino', (1416, 1417), 'PER']]"
Communist Party of Nigeria ( CPN ),"[['Communist Party of Nigeria', (1421, 1424), 'ORG']]"
"** '' Chaetodon falcula '' , Blackwedged butterflyfish","[['Chaetodon falcula', (1430, 1431), 'ORG']]"
"The first settlers arrived in the early 19th century , and were largely Quakers , Mennonites and United Empire Loyalists who had left the United States .","[['Quakers', (1449, 1449), 'ORG'], ['Mennonites', (1451, 1451), 'ORG'], ['United Empire Loyalists', (1453, 1455), 'ORG'], ['United States', (1460, 1461), 'LOC']]"
Republic of Ezo ( 1868â1869 ),"[['Republic of Ezo', (1463, 1465), 'LOC']]"
"Hul , NovÃ© ZÃ¡mky District",[]
"Estadio Tiburcio CarÃ­as Andino Tegucigalpa , Honduras","[['Estadio Tiburcio CarÃ\xadas Andino', (1474, 1477), 'ORG'], ['Tegucigalpa', (1478, 1478), 'LOC']]"
"BokÃ³wka , Podlaskie Voivodeship",[]
"Robert A. Borski , Jr .",[]
"Perry Township , Fayette County , Ohio",[]
'' Tsardom of Russia '' ' â Feodor III ( 1676â1682 ),"[['Tsardom of Russia', (1499, 1501), 'LOC'], ['Feodor III', (1505, 1506), 'PER']]"
"St George 's , University of London ( SGUL )","[[""St George 's , University of London"", (1510, 1516), 'ORG']]"
Wales national football team,[]
*wisent ( Bison bonasus '' ),"[['Bison bonasus', (1526, 1527), 'ORG']]"
"Warrandyte South , Victoria",[]
"'' Prochoreutis stellaris '' ( Zeller , 1847 )","[['Prochoreutis stellaris', (1535, 1536), 'LOC']]"
UEFA Cup winner 1981 .,"[['UEFA Cup', (1543, 1544), 'ORG'], ['1981', (1546, 1546), 'ORG']]"
In 1926 he was promoted to the rank of Marshal of Italy .,"[['Marshal of Italy', (1557, 1559), 'PER']]"
Her grandson Stanley Eric Francis Booth-Clibborn became the Anglican Bishop of Manchester .,"[['Stanley Eric Francis Booth-Clibborn', (1563, 1566), 'PER'], ['Anglican', (1569, 1569), 'ORG'], ['Bishop of Manchester', (1570, 1572), 'LOC']]"
It will serve the suburb of Murrumba Downs in the Moreton Bay Region .,"[['Murrumba Downs', (1580, 1581), 'ORG'], ['Moreton Bay Region', (1584, 1586), 'LOC']]"
Lawrence of Rome,[]
The Larry Sanders Show '',"[['The Larry Sanders Show', (1591, 1594), 'ORG']]"
"Coming on twice as a substitute , he was selected to start in the semi-final loss to Brazil .","[['Brazil', (1613, 1613), 'ORG']]"
'' September 7 '' â Little Shop,[]
"It is in Division No. 6 , in the Bay of Exploits .","[['Division No. 6', (1625, 1627), 'LOC'], ['Bay of Exploits', (1631, 1633), 'LOC']]"
"Alexander of Hales , ( died 1245 )","[['Alexander of Hales', (1635, 1637), 'PER']]"
Louis Eppolito and Stephen Caracappa,[]
"Yale Township , Valley County , Nebraska",[]
''Slavonija '' : Slavonia,[]
John Steven Sutherland ( born 11 March 1983 ),"[['John Steven Sutherland', (1659, 1661), 'PER']]"
K. S. Rangasamy College of Technology,[]
"St. Mary 's College , Kegalle",[]
*Liam references Lucky Charms .,"[['Lucky Charms', (1682, 1683), 'PER']]"
"Classic Gold Marcher , Wrexham and Chester","[['Classic Gold Marcher', (1685, 1687), 'ORG'], ['Wrexham', (1689, 1689), 'LOC']]"
DRS 1 - 101.5 MHz ( 60 kW ),"[['DRS 1', (1692, 1693), 'ORG']]"
"Marvin Dunnette , University of Minnesota","[['Marvin Dunnette', (1701, 1702), 'PER']]"
Get off the Stage,[]
'' ÅÄ±marÄ±k '' â Tarkan,"[['Å\x9eÄ±marÄ±k', (1712, 1712), 'ORG']]"
GMA Network was also reportedly planning to bid but backed out ; it however denied that they offered a bid .,"[['GMA Network', (1716, 1717), 'ORG']]"
' '' Slobodan Å½ivojinoviÄ '' ' 7â6 6â3 6â4,"[['Slobodan Å½ivojinoviÄ\x87', (1739, 1740), 'PER']]"
"He was born in Clipston , Northamptonshire and died at Isleworth , Middlesex .","[['Clipston , Northamptonshire', (1750, 1752), 'LOC'], ['Isleworth', (1756, 1756), 'LOC'], ['Middlesex', (1758, 1758), 'LOC']]"
K. Stade Leuven ( 1903â2002 ),"[['K. Stade Leuven', (1760, 1762), 'ORG']]"
Patrick Ryan ( Irish priest ),[]
"Image : V02p108001 Esnoga , Amsterdam , Netherlands","[['Esnoga', (1775, 1775), 'ORG'], ['Amsterdam', (1777, 1777), 'LOC']]"
"'' Graphium endochus '' ( Boisduval , 1836 )","[['Graphium endochus', (1781, 1782), 'LOC']]"
Circuit rider ( Technology ),[]
Tachibana no Naramaro,[]
Rajiv Gandhi International Cricket Stadium,[]
- Alanya in Turkey,"[['Alanya', (1803, 1803), 'LOC']]"
He was the manager of Ãrabe Unido in Panama .,"[['Ã\x81rabe Unido', (1811, 1812), 'ORG'], ['Panama', (1814, 1814), 'LOC']]"
"Central , Tennessee ( CDP )","[['Central , Tennessee', (1816, 1818), 'LOC']]"
*20px Indiana State Road 18,[]
It is known from Iran and Turkmenistan ( Kopet Dag ) .,"[['Iran', (1831, 1831), 'LOC'], ['Turkmenistan', (1833, 1833), 'LOC'], ['Kopet Dag', (1835, 1836), 'LOC']]"
1â0 Ewerthon ( 28 ),"[['Ewerthon', (1840, 1840), 'PER']]"
2014 Women 's Futsal World Tournament,[]
Guatemalan pygmy owl,[]
LAC+USC Medical Center,[]
"Marion Township , Hardin County , Ohio",[]
' '' Maurie Keane '' ',"[['Maurie Keane', (1865, 1866), 'PER']]"
Northern rough-winged swallow,[]
"''Hypnotize '' opened at 1 on the ''Billboard '' 200 with 320,000 copies the first week .","[[""''Billboard '' 200"", (1879, 1881), 'LOC']]"
Caroline Hedwall ( T12 ),"[['Caroline Hedwall', (1889, 1890), 'PER']]"
Winnie the Pooh ( franchise ),[]
Aubrey J. O'Brien,[]
"Including the work of artists such as : Edward Burne-Jones , Ford Madox Brown , John Everett Millais , Dante Gabriel Rossetti , William Holman Hunt , Arthur Hughes , Frederick Sandys , Simeon Solomon .","[['Edward Burne-Jones', (1911, 1912), 'PER'], ['Ford Madox Brown', (1914, 1916), 'PER'], ['John Everett Millais', (1918, 1920), 'PER'], ['Dante Gabriel Rossetti', (1922, 1924), 'PER'], ['William Holman Hunt', (1926, 1928), 'PER'], ['Arthur Hughes', (1930, 1931), 'PER'], ['Frederick Sandys', (1933, 1934), 'PER'], ['Simeon Solomon', (1936, 1937), 'PER']]"
"Weverton , Maryland",[]
Cleinias of Tarentum,[]
"Trained at Long Beach Army Air Field , California then inactivating .","[['Long Beach Army Air Field', (1947, 1951), 'ORG'], ['California', (1953, 1953), 'LOC']]"
"The eastward pressure to expand was also created by the inability to move westward , inhibited by the formidable presence of the enormous Flushing Chinatown ( æ³æçè¯å  ) centered on Main Street .","[['Flushing Chinatown ( æ³\x95æ\x8b\x89ç\x9b\x9bè\x8f¯å\x9f\xa0 )', (1980, 1984), 'LOC'], ['Main Street', (1987, 1988), 'ORG']]"
"Arnold Schwarzenegger , Linda Hamilton , Robert Patrick , Edward Furlong","[['Arnold Schwarzenegger', (1990, 1991), 'PER'], ['Linda Hamilton', (1993, 1994), 'PER'], ['Robert Patrick', (1996, 1997), 'PER']]"
List of national libraries,[]
"Frederick Banbury , 1st Baron Banbury of Southam",[]
`` Who Loves You ? '',"[['Who Loves You ?', (2014, 2017), 'ORG']]"
"''Oberst '' Kurt Freiherr von Liebenstein , 21 December 1942 â 1 January 1943 ( acting leader )","[['Kurt Freiherr von Liebenstein', (2021, 2024), 'PER']]"
** Southern Maryland Blue Crabs,[]
Casey Janssen ( 6 ),"[['Casey Janssen', (2042, 2043), 'PER']]"
List of famous Puerto Ricans,[]
`` Simply Meant to Be '' ( with Jennifer Warnes ),"[['Jennifer Warnes', (2060, 2061), 'PER']]"
"'' Rhodophthitus tricoloraria '' ( Mabille , 1890 )","[['Rhodophthitus tricoloraria', (2064, 2065), 'LOC']]"
Leo II of Galicia,[]
William Morrow and Company,[]
The site is located between the War Memorial Building and Baltimore City Hall .,"[['War Memorial Building', (2086, 2088), 'ORG'], ['Baltimore City Hall', (2090, 2092), 'ORG']]"
Wusi Road Subdistrict ( ),"[['Wusi Road Subdistrict', (2094, 2096), 'LOC']]"
"Jane Levy , Dylan Minnette , Stephen Lang","[['Jane Levy', (2099, 2100), 'PER'], ['Dylan Minnette', (2102, 2103), 'PER']]"
It is found in Costa Rica .,"[['Costa Rica', (2111, 2112), 'LOC']]"
"In 1841 the population of Norbury and Roston was 510 , in 1895 there were 414 inhabitants .","[['Norbury and Roston', (2119, 2121), 'ORG']]"
''Written by William Barton '',"[['William Barton', (2134, 2135), 'PER']]"
Lantenay ( 01206 ),"[['Lantenay', (2137, 2137), 'LOC']]"
John Reeves ( judge ),[]
La Clotte ( 17113 ),"[['La Clotte', (2146, 2147), 'LOC']]"
Edwin S. Johnson ( D ),"[['Edwin S. Johnson', (2151, 2153), 'PER']]"
"Funahashi Seiichi ( December 25 , 1904 â January 13 , 1976 )","[['Funahashi Seiichi', (2157, 2158), 'PER']]"
It is known from Chile .,"[['Chile', (2174, 2174), 'LOC']]"
AFL]] ( Australian rules ),"[['Australian rules', (2178, 2179), 'ORG']]"
Among many artists who recorded this song were Al Jolson and Billy Murray .,"[['Al Jolson', (2189, 2190), 'PER'], ['Billy Murray', (2192, 2193), 'PER']]"
** '' Duchy of Aquitaine '' ' â William V ( 995â1030 ),"[['Duchy of Aquitaine', (2197, 2199), 'LOC'], ['William V', (2203, 2204), 'PER']]"
' '' West African lion '' ' ( ''P .,"[['West African lion', (2210, 2212), 'LOC']]"
"'' The Room '' ( Chris Waters , Tom Shapiro ) â 3:40","[['Chris Waters', (2223, 2224), 'PER'], ['Tom Shapiro', (2226, 2227), 'PER']]"
"Munsee-Delaware Nation Indian Reserve No. 1 , part of the above","[['Munsee-Delaware Nation Indian Reserve No. 1', (2231, 2236), 'LOC']]"
"It lies north-west of Kowalewo Pomorskie , north-west of Golub-DobrzyÅ , and north-east of ToruÅ .","[['Kowalewo Pomorskie', (2246, 2247), 'LOC'], ['Golub-DobrzyÅ\x84', (2251, 2251), 'LOC'], ['ToruÅ\x84', (2256, 2256), 'LOC']]"
"Bahawalpur Zoo , Bahawalpur , Punjab","[['Bahawalpur Zoo', (2258, 2259), 'ORG'], ['Bahawalpur', (2261, 2261), 'LOC']]"
Friedrich Gilly ( 1772â1800 ),"[['Friedrich Gilly', (2264, 2265), 'PER']]"
**** Longtail stingray ( ''D .,"[['Longtail stingray', (2270, 2271), 'LOC']]"
`` The Woman Comes and Goes '' ( Daryl Hall ) 3:49,"[['Daryl Hall', (2283, 2284), 'PER']]"
List of Orchidaceae genera,[]
Clarkston railway station,[]
Rimyongsu Sports Club ( Sariwon ),"[['Rimyongsu Sports Club', (2294, 2296), 'ORG'], ['Sariwon', (2298, 2298), 'LOC']]"
Len Braund ( 1901â1907 ),"[['Len Braund', (2300, 2301), 'PER']]"
"Martin Luther King , Jr .",[]
Verner ThomÃ© ( 1878â1953 ),"[['Verner ThomÃ©', (2311, 2312), 'PER']]"
1944 Presentation Brothers College,[]
"JÃ¶rgen Olsson , Sweden","[['JÃ¶rgen Olsson', (2320, 2321), 'PER']]"
''Also see : Hot 100 No. 1 Hits of 1979 '',"[['Hot 100 No. 1 Hits of 1979', (2327, 2333), 'ORG']]"
"He died on March 19 , 1979 in Oakland , California .","[['Oakland , California', (2343, 2345), 'LOC']]"
